,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
836,RBL FinServe,4.0k,1.1k,Financial Services - Mumbai +322 other locations,2.9k,55,--,"Salary & Benefits, Skill Development / Learning, Work Life Balance",N/A
837,ZF Steering Gear,3.7k,1.1k,Auto Components - Pune +26 other locations,6.4k,50,3,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
838,Godrej Consumer Products,4.1k,1.1k,FMCG - Mumbai +132 other locations,4.3k,53,--,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
839,More Supermarket,3.8k,1.1k,"Retail - Bangalore , Bengaluru +146 other locations",3.5k,76,4,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
840,The Jaypee Group,3.9k,1.1k,Engineering & Construction - Noida +101 other locations,3.4k,46,3,Job Security,"Promotions / Appraisal, Salary & Benefits"
841,Qualcomm,3.8k,1.1k,"Semiconductors - Hyderabad , Secunderabad +17 other locations",11.5k,269,269,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
842,DISH TV,3.5k,1.1k,Broadcasting - Noida +146 other locations,3.3k,64,12,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
843,T-Systems ICT India,3.8k,1.1k,IT Services & Consulting - Pune +15 other locations,7.5k,96,9,Work Life Balance,Promotions / Appraisal
844,The Ramco Cements,4.2k,1k,Building Material - Chennai +103 other locations,3.6k,62,--,"Job Security, Company Culture, Work Life Balance",N/A
845,AIIMS,4.1k,1.1k,Education & Training - New Delhi +63 other locations,4.2k,57,--,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",Promotions / Appraisal
846,Wistron,3.9k,1k,"Electronics Manufacturing - Bangalore , Bengaluru +22 other locations",5.2k,83,--,Job Security,"Promotions / Appraisal, Salary & Benefits"
847,Jakson Group,4.2k,1.1k,Power - Noida +93 other locations,3.5k,86,26,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
848,Pacific BPO,3.4k,1.1k,Healthcare - Noida +22 other locations,4.7k,88,20,N/A,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
849,CenturyPly,3.8k,1k,Furniture & Furnishing - Kolkata +122 other locations,3.7k,74,9,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction"
850,Prodapt,3.5k,1.1k,IT Services & Consulting - Chennai +14 other locations,8.3k,102,51,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
851,Fidelity Investments,4.1k,1k,"Financial Services - Bangalore , Bengaluru +19 other locations",7.4k,113,3,"Company Culture, Work Life Balance, Job Security",N/A
852,SBFC Finance,3.7k,1.1k,NBFC - Mumbai +183 other locations,2.5k,65,30,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
853,Wind World,3.9k,1k,Power - Jaisalmer +76 other locations,3.1k,78,6,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
